Song,Difficulty,Constant,Score,Rating
Essence of Twilight,FTR,9,9984496,10.84496
Libertas,FTR,9.2,9963870,10.8387
Kanagawa Cyber Culvert,FTR,9,9983031,10.83031
OMAKENO Stroke,FTR,9.6,9891437,10.8285925
Specta,FTR,9.5,9923379,10.8084475
Rugie,FTR,9,9980400,10.804
Fracture Ray,PRS,9.2,9960304,10.80304
Call My Name feat. Yukacco,FTR,8.8,10000879,10.8
Antithese,FTR,8.8,10000844,10.8
Surrender,FTR,8.8,10000880,10.8
SUPERNOVA,FTR,9.7,9836146,10.790365
Be There,FTR,9.5,9914309,10.7857725
Strongholds,FTR,9.1,9968312,10.78312
Evoltex (poppi'n mix),FTR,8.9,9987803,10.778030000000001
qualia -ideaesthesia-,FTR,9.2,9956906,10.76906
DX Choseinou Full Metal Shojo,FTR,9.7,9827375,10.7684375
ReviXy,FTR,8.9,9986664,10.76664
Blaster,FTR,9.5,9906055,10.7651375
STAGER (ALL STAGE CLEAR),FTR,9.2,9956077,10.760769999999999
Linear Accelerator,FTR,9.6,9857114,10.742785
Your voice so... feat. Such,FTR,9.4,9931804,10.729510000000001
LunarOrbit -believe in the Espebranch road-,FTR,9.4,9920642,10.701605
Particle Arts,FTR,8.8,9990043,10.70043
REconstruction,FTR,8.7,10000779,10.7
Dot to Dot feat. shully,FTR,8.7,10000705,10.7
FREEF4LL,FTR,8.7,10000967,10.7
CROSS†SOUL,FTR,9.6,9834465,10.6861625
Nirv lucE,FTR,10.3,9613003,10.676676666666667
DataErr0r,FTR,9.5,9869951,10.6748775
Oracle,FTR,9.3,9948934,10.672335
Lethaeus,FTR,9.5,9861835,10.6545875
next to you,FTR,8.7,9994684,10.64684
Astral tale,FTR,9.4,9882004,10.60501
Chelsea,FTR,8.6,10000601,10.6
Harutopia ~Utopia of Spring~,FTR,8.6,10001023,10.6
dropdead,PRS,9.5,9838689,10.5967225
GOODTEK (Arcaea Edit),FTR,9.3,9913046,10.582615
Anökumene,FTR,9.2,9947836,10.56959
Black Territory,FTR,9.5,9825296,10.56324
Dandelion,FTR,8.6,9995434,10.55434
Senkyou,FTR,8.8,9974962,10.54962
Vicious Heroism,FTR,10,9661774,10.539246666666667
Ringed Genesis,PRS,8.5,10000831,10.5
Moonheart,FTR,8.5,10000906,10.5
Halcyon,PRS,8.5,10000894,10.5
Lumia,FTR,8.5,10000933,10.5
Flashback,FTR,8.5,10000807,10.5
Phantasia,FTR,9.2,9916817,10.4920425
Journey,FTR,8.6,9985894,10.45894
Snow White,FTR,8.6,9985575,10.45575
Chronostasis,FTR,9.1,9935311,10.4382775
Grimheart,FTR,8.6,9980024,10.40024
Purgatorium,FTR,8.4,10000933,10.4
Tie me down gently,FTR,8.4,10000677,10.4
Solitary Dream,FTR,8.4,10000908,10.4
Silent Rush,FTR,8.4,10000900,10.4
Genesis,FTR,8.4,10000679,10.4
Shades of Light in a Transcendent Realm,FTR,8.4,10001034,10.4
cry of viyella,FTR,8.7,9969117,10.391169999999999
Rabbit In The Black Room,FTR,8.5,9987765,10.37765
Babaroque,FTR,8.7,9963613,10.336129999999999
MERLIN,FTR,8.5,9979550,10.2955
memoryfactory.lzh,FTR,8.8,9941057,10.1526425
Reinvent,FTR,8.6,9953827,10.13827
dropdead,FTR,9.1,9611866,9.472886666666666
